,Unnamed: 0,track_id,track_name,artist_name,acousticness,energy,danceability,duration_ms,liveness,tempo,valence,release_date
3117,3134,6OTg5BI36wjQw7MMUYWWux,420 Freestyle,Wiz Khalifa,0.00693,0.645,0.925,217657,0.0842,145.032,0.5710000000000001,2018-07-13
3118,3135,2MyCT1iCuBUhcO8zbjOyRW,Dance For Me (feat. NAV),Tory Lanez,0.00946,0.526,0.557,325853,0.128,79.954,0.123,2018-03-02
3119,3136,6C7ZgThn6Yan5MTZdAEEFw,Mama Said Knock You Out,LL Cool J,0.0314,0.759,0.7909999999999999,289693,0.255,102.382,0.619,1990-08-27
3120,3137,3Z7dieIRSquTYqLVR15mov,Missed Calls,EARTHGANG,0.00775,0.665,0.789,270747,0.109,127.914,0.324,2015-11-05
3121,3138,0FIcYpNaqZaJnP3yDcaBN6,Leaked,Lil Baby,0.00352,0.375,0.797,192045,0.0767,139.999,0.171,2018-05-18
3122,3139,2rUwQj4SWaP2anuGDtNpYR,Self-Made,Bryson Tiller,0.00304,0.7020000000000001,0.932,167853,0.267,143.001,0.53,2017-05-26
3123,3140,6ayCEojiJIe5d8DwXVlGU4,Domingo (feat. Cosculluela),Reykon,0.124,0.733,0.816,222483,0.0812,93.022,0.5710000000000001,2018-10-26
3124,3141,7HIykrQ0wE27oS9fmU0zTw,GUSHER GUTS,Comethazine,0.0398,0.802,0.708,110000,0.118,140.281,0.653,2019-01-11
3125,3142,3a5Jt4Be7cM8zWUxPYmLNj,PROUD PUPPY LOVER!,Craig Xen,0.16399999999999998,0.754,0.733,117000,0.139,159.947,0.7190000000000001,2019-01-23
3126,3143,1n4jwRVXdkK2U34nBDUKKT,BLOOD.,Kendrick Lamar,0.142,0.238,0.35700000000000004,118067,0.55,156.907,0.494,2017-04-14
3127,3144,5dv1VQpsAbUv8xf8MrhoqA,"Please Forgive (feat. Denzel Curry, IDK, Zombie Juice & ZillaKami)",Powers Pleasant,0.0138,0.507,0.884,192347,0.0963,141.947,0.168,2018-10-17
3128,3145,0Yp3wCUpjrG7NWWPDpmQXm,Paranoid (feat. B.o.B),Ty Dolla $ign,0.008879999999999999,0.398,0.858,216520,0.112,97.476,0.258,2014-01-21
3129,3146,5bITfqKGaPakO1l99hOMsI,No Quiero Amarte (feat. Zion & Lennox),Justin Quiles,0.128,0.7929999999999999,0.7340000000000001,235315,0.0658,89.961,0.511,2018-04-20
3130,3147,1SWVDBtw6h3tm9OehOkDhv,What's The Difference,Dr. Dre,0.238,0.825,0.792,244200,0.18600000000000005,91.907,0.696,1999-11-16
3131,3148,0XGLsSU6wtfnKXiMNvQr61,Versace (Remix),Migos,0.0218,0.705,0.845,246047,0.339,132.05,0.334,2015-01-06
3132,3149,2jey6aQoRNao7Ou9ftOXFC,she ready,Lil Yachty,0.0572,0.718,0.825,185987,0.104,145.028,0.69,2018-03-09
3133,3150,7rN4EEiOQEO73tnjrrt5Tn,Blank Blank,DaBaby,0.154,0.828,0.519,173213,0.341,138.084,0.675,2018-11-02
